code	prefLabel	broader	definition
20000284	market trend	http://cv.iptc.org/newscodes/mediatopic/20000192	Statistically significant consumer behavior.
20000285	personal finance	http://cv.iptc.org/newscodes/mediatopic/20000271	An individual's income and expenses
20000286	personal income	http://cv.iptc.org/newscodes/mediatopic/20000271	Money that a person earns and is his/hers to keep or spend
20000287	personal finance and investment	http://cv.iptc.org/newscodes/mediatopic/20001370	Investing an individual's savings in the hope of future gains
20000288	personal service	http://cv.iptc.org/newscodes/mediatopic/20001371	Consumer service that is intangible e.g. beauty care such as hairdressing
20000289	printing service	http://cv.iptc.org/newscodes/mediatopic/20000271	The production of printed matter such as flyers, ads, signs, etc.
20000290	rental service	http://cv.iptc.org/newscodes/mediatopic/20001371	Companies that provide items on a short-term rental basis, including motor vehicles, clothing, tools, heavy equipment and other supplies
20000291	shipping and postal service	http://cv.iptc.org/newscodes/mediatopic/20001371	Organizations that prepare and transport packages and documents for individuals or companies by any means, including postal services
20000292	stock broking	http://cv.iptc.org/newscodes/mediatopic/20001370	The buying and selling of company shares on behalf of individuals or other entities
20000293	wedding service	http://cv.iptc.org/newscodes/mediatopic/20001371	Services and products related to the wedding industry
20000294	manufacturing and engineering	http://cv.iptc.org/newscodes/mediatopic/20000209	Manufacturers of electrical, electronic and mechanical equipment but does not cover civil engineering.
20000295	aerospace	http://cv.iptc.org/newscodes/mediatopic/20000294	Companies that assemble or manufacture components for airplanes and space ships.
20000296	automotive	http://cv.iptc.org/newscodes/mediatopic/20000294	Companies that manufacture automotive components and assemble automobiles
20000297	defense equipment	http://cv.iptc.org/newscodes/mediatopic/20000294	Manufacturers of guns, tanks, ships or other equipment for military and non-military protection services
20000298	electrical appliance	http://cv.iptc.org/newscodes/mediatopic/20000294	Makers of large and small electrical goods for use in homes or business
20000299	heavy engineering	http://cv.iptc.org/newscodes/mediatopic/20000294	Manufacturers of engineering equipment, such as cranes and bulldozers, for use in major construction projects
20000300	industrial component	http://cv.iptc.org/newscodes/mediatopic/20000294	Manufacturers of mechanical, electrical, electronic items needed in the manufacture of other items
20000301	instrument engineering	http://cv.iptc.org/newscodes/mediatopic/20000294	Manufacturers of instruments for calibration, measurement of things like speed, pressure, distance
20000302	machine manufacturing	http://cv.iptc.org/newscodes/mediatopic/20000294	Manufacturers of turbines, engines, fans, pumps, motors and other components for powered equipment
20000303	shipbuilding	http://cv.iptc.org/newscodes/mediatopic/20000294	Manufacturers of ships and submersibles and suppliers for the maintenance and repair of these vessels
20000304	media and entertainment industry	http://cv.iptc.org/newscodes/mediatopic/20000209	The various means of disseminating news, information and entertainment to the public
20000305	advertising	http://cv.iptc.org/newscodes/mediatopic/20000304	Methods of promoting goods and services to consumers
20000306	books and publishing	http://cv.iptc.org/newscodes/mediatopic/20000304	The business of producing and selling books, including e-books and audiobooks
20000307	film industry	http://cv.iptc.org/newscodes/mediatopic/20000304	The business of making, selling and distributing films
20000308	music industry	http://cv.iptc.org/newscodes/mediatopic/20000304	Recording, production and marketing of music
20000309	news agency	http://cv.iptc.org/newscodes/mediatopic/20000304	Commercial agencies for production and distribution of newsworthy events through print, broadcast, video or electronic media
20000310	newspaper and magazine	http://cv.iptc.org/newscodes/mediatopic/20000304	The business of producing bound and unbound printed paper products for periodic distribution of news items
20000311	online media industry	http://cv.iptc.org/newscodes/mediatopic/20000304	The business of distributing news and information through computer networks for public consumption
20000312	public relations	http://cv.iptc.org/newscodes/mediatopic/20000304	The business of managing and disseminating information from an individual or an organization to the public in order to influence their perception
20000313	radio industry	http://cv.iptc.org/newscodes/mediatopic/20000304	Companies and organizations involved in the broadcast of radio stations and their content to the public
20000314	satellite and cable service	http://cv.iptc.org/newscodes/mediatopic/20000304	The business of transmitting news, entertainment and information via satellite or cable television services
20000315	television industry	http://cv.iptc.org/newscodes/mediatopic/20000304	The production and broadcasting of television content
20000316	metal and mineral mining and refining	http://cv.iptc.org/newscodes/mediatopic/20000209	The extractive businesses that remove raw materials, including coal, gold iron and copper, from the earth by drilling and pumping, quarrying or mining
20000317	building material	http://cv.iptc.org/newscodes/mediatopic/20000235	Manufacturing of the materials used in construction, such as wallboard, lumber and wire
20000318	precious material	http://cv.iptc.org/newscodes/mediatopic/20000316	The mining, refining and sale of materials such as gold, silver, precious metals, diamonds and rare earths
20000319	iron and steel	http://cv.iptc.org/newscodes/mediatopic/20000316	Mining, refining and sales of iron-based metals
20000320	mining	http://cv.iptc.org/newscodes/mediatopic/20000316	The industry of digging for metals, minerals, raw materials, such as coal, or precious gems, such as diamonds
20000321	non-ferrous metal	http://cv.iptc.org/newscodes/mediatopic/20000316	Mining, refining and sales of copper, zinc, aluminum, and other metals not based on iron
20000322	process industry	http://cv.iptc.org/newscodes/mediatopic/20000209	The business of turning raw materials into useable products
20000323	distiller and brewer	http://cv.iptc.org/newscodes/mediatopic/20000322	Manufacture of alcoholic beverages
20000324	beverage and grocery	http://cv.iptc.org/newscodes/mediatopic/20000243	The production and sale of foodstuffs
20000325	furnishings and furniture	http://cv.iptc.org/newscodes/mediatopic/20000243	Manufacture of furniture, wallpaper, paints and fabrics for interior decoration
20000326	paper and packaging product	http://cv.iptc.org/newscodes/mediatopic/20000322	Production of paper material for writing, wrapping, printing, or packaging
20000327	rubber product	http://cv.iptc.org/newscodes/mediatopic/20000322	Production of rubber-based materials for gloves, protective coatings, hoses and the like
20000328	soft drinks	http://cv.iptc.org/newscodes/mediatopic/20000322	Production of non-alcoholic drinks
20000329	textile and clothing	http://cv.iptc.org/newscodes/mediatopic/20000322	Production of fabrics for furnishings and fixtures, and for clothing of various types
20000330	tobacco and nicotine	http://cv.iptc.org/newscodes/mediatopic/20000243	The sale and manufacturing of tobacco products for consumers, including cigarettes, e-cigarettes and vaping cartridges
20000331	tourism and leisure industry	http://cv.iptc.org/newscodes/mediatopic/20000209	Commercial organizations and operations dealing with travel and the pursuit of recreational activities
20000332	casinos and gambling	http://cv.iptc.org/newscodes/mediatopic/20000331	Organisations providing outlets for betting money on games of chance or animal races
20000333	hotel and accommodation	http://cv.iptc.org/newscodes/mediatopic/20000331	The business of providing lodging to travelers
20000334	recreational and sporting goods	http://cv.iptc.org/newscodes/mediatopic/20000331	Manufacture of goods for leisure activities
20000335	restaurant and catering	http://cv.iptc.org/newscodes/mediatopic/20000331	The business of providing prepared food for customers
20000336	tour operator	http://cv.iptc.org/newscodes/mediatopic/20000331	Operators of trips either locally or internationally
20000337	transport	http://cv.iptc.org/newscodes/mediatopic/20000209	The means of getting people or goods from one place to another
20000338	air transport	http://cv.iptc.org/newscodes/mediatopic/20000337	The movement of passengers and freight by air
20000339	commuting	http://cv.iptc.org/newscodes/mediatopic/20000509	The process of getting to and from work, including transport options, travel networks, car pooling.
20000340	railway transport	http://cv.iptc.org/newscodes/mediatopic/20000337	The movement of passengers and freight by rail
20000341	road transport	http://cv.iptc.org/newscodes/mediatopic/20000337	The movement of passengers and freight by road
20000342	traffic	http://cv.iptc.org/newscodes/mediatopic/20000337	Traffic reports and/or warnings
20000343	waterway and maritime transport	http://cv.iptc.org/newscodes/mediatopic/20000337	Commercial movement of people or goods via boats, ships and water
20000344	economy	http://cv.iptc.org/newscodes/mediatopic/04000000	Production, consumption, distribution and trade activities affecting regions or countries as a whole
20000345	economic policy	http://cv.iptc.org/newscodes/mediatopic/20000621	Government-directed policy on the economy including, production, taxes and tariffs
20000346	economic trends and indicators	http://cv.iptc.org/newscodes/mediatopic/20000344	The behavior and performance of the economy as a whole
20000347	bonds	http://cv.iptc.org/newscodes/mediatopic/20000346	Corporate or governmental paper representing the loan of money at a fixed rate and for a fixed time to that company or government
20000348	budgets and budgeting	http://cv.iptc.org/newscodes/mediatopic/20000346	A method of balancing revenues against expenses
20000349	business enterprise	http://cv.iptc.org/newscodes/mediatopic/04000000	Organizations set up to create and sell a product or service
20000350	central bank	http://cv.iptc.org/newscodes/mediatopic/20000344	A country's major bank that sets interest rates and provides transfer of funds between commercial banks
20000351	consumers	http://cv.iptc.org/newscodes/mediatopic/20000346	Buyers of goods and services
20000352	consumer confidence	http://cv.iptc.org/newscodes/mediatopic/20000346	A measure of consumers' feelings about current and future economic conditions, including prices, inflation and the quality of retail goods, used as an indicator of the overall state of the economy
20000353	consumer issue	http://cv.iptc.org/newscodes/mediatopic/20000351	Issues, such as prices, inflation/deflation, quality of goods, at the retail sales level
20000354	credit and debt	http://cv.iptc.org/newscodes/mediatopic/20000346	Credit: the amount of money available to you, often by loan. Debt: the amount you owe.
20000355	currency	http://cv.iptc.org/newscodes/mediatopic/20000344	The system of money used by a country, including the value of one currency as measured against another
20000356	deflation	http://cv.iptc.org/newscodes/mediatopic/20000346	The decrease in the general price level of goods and services within an economy
20000357	economic growth	http://cv.iptc.org/newscodes/mediatopic/20000346	An increase of the gross domestic product (GDP)
20000358	economic indicator	http://cv.iptc.org/newscodes/mediatopic/20000346	Certain indexes, such as company inventories, the movement of prices that show whether the economy is improving or declining
20000359	gross domestic product	http://cv.iptc.org/newscodes/mediatopic/20000346	A measure of a region's economic performance, commonly abbreviated as GDP
20000360	industrial production	http://cv.iptc.org/newscodes/mediatopic/20000346	Manufacture of durable and non-durable goods
20000361	inventories	http://cv.iptc.org/newscodes/mediatopic/20000346	Goods not sold and held by the producer, wholesaler or retailer
20000362	productivity	http://cv.iptc.org/newscodes/mediatopic/20000346	A measure of output from production or service
20000363	economic organization	http://cv.iptc.org/newscodes/mediatopic/20000344	Business, industrial and trade associations, societies and other private-sector groups
20000364	emerging market	http://cv.iptc.org/newscodes/mediatopic/20000344	Economies of developing nations that are growing and becoming more engaged with global markets
20000365	employment statistics	http://cv.iptc.org/newscodes/mediatopic/20000346	Trends and statistics about areas such as job growth, unemployment and wage growth
20000366	exporting	http://cv.iptc.org/newscodes/mediatopic/20000346	The producing of manufacturing of goods by a country to be sold elsewhere
20000367	government aid	http://cv.iptc.org/newscodes/mediatopic/20000346	Supply of financial and other help by one government, usually to another
20000368	government debt	http://cv.iptc.org/newscodes/mediatopic/20000346	Debt incurred when a country borrows funds to pay for public services and projects that it cannot afford based on the amount of taxes it has raised
20000369	importing	http://cv.iptc.org/newscodes/mediatopic/20000346	A country bringing in goods that were produced or manufactured elsewhere
20000370	inflation	http://cv.iptc.org/newscodes/mediatopic/20000346	The overall increase in prices and cost of living throughout an economy
20000371	interest rates	http://cv.iptc.org/newscodes/mediatopic/20000379	The amount a lender charges a borrower as a percentage of the principal. Often set by a central bank or government.
20000372	international economic institution	http://cv.iptc.org/newscodes/mediatopic/20000344	Global institutions working in the domain of international economic cooperation and stability, such as the International Monetary Fund, UNIDO, World Bank and World Trade Organization
20000373	international trade	http://cv.iptc.org/newscodes/mediatopic/20000344	Trade of goods and services between nations
20000374	trade agreements	http://cv.iptc.org/newscodes/mediatopic/20000373	Agreements between countries or trading blocs for the sale and purchase of goods and services
20000375	balance of trade	http://cv.iptc.org/newscodes/mediatopic/20000373	The difference between the financial value of imports and exports
20000376	trade dispute	http://cv.iptc.org/newscodes/mediatopic/20000373	International dispute over issues such as trade barriers, cartels and dumping, resolved by the World Trade Organization
20000377	trade policy	http://cv.iptc.org/newscodes/mediatopic/20000373	Governmental decisions on tariffs, shipping, embargoes, and the types of goods and services to be imported and exported
20000378	investments	http://cv.iptc.org/newscodes/mediatopic/20000346	Speculative purchases of corporate instruments, of commodities, currencies, or parts thereof
20000379	monetary policy	http://cv.iptc.org/newscodes/mediatopic/20000344	Government bank directed policy on the amount of money in circulation and the rate at which it can be loaned
20000380	mortgages	http://cv.iptc.org/newscodes/mediatopic/20000346	Trends around loans taken out to buy homes, such as the interest rates of mortgages, the amount of people buying property with a mortgage and the ease of getting approved for a mortgage
20000381	mutual funds	http://cv.iptc.org/newscodes/mediatopic/20000344	Pools of shares or bonds for sale often grouped by investment intention, such as growth, income or security
20000382	prices	http://cv.iptc.org/newscodes/mediatopic/20000346	The monetary value of goods, services or stocks and bonds
20000383	recession	http://cv.iptc.org/newscodes/mediatopic/20000346	A decrease in gross domestic product over a period of two quarters in a row
20000384	tariff	http://cv.iptc.org/newscodes/mediatopic/20000373	Fees placed on imported or exported goods
20000385	market and exchange	http://cv.iptc.org/newscodes/mediatopic/04000000	Market for buying and selling stocks, currencies, commodities and other goods
20000386	commodities market	http://cv.iptc.org/newscodes/mediatopic/20000385	The market for goods such as cotton, oil, coal and metals
20000387	energy market	http://cv.iptc.org/newscodes/mediatopic/20000386	The market for commodities such as electricity, heat, and fuel products
20000388	metal	http://cv.iptc.org/newscodes/mediatopic/20000386	Markets for trading base metals such as copper, aluminum, steel, zinc etc
20000389	soft commodities market	http://cv.iptc.org/newscodes/mediatopic/20000386	Market for commodities such as cotton, sugar, sorghum, soybeans
20000390	debt market	http://cv.iptc.org/newscodes/mediatopic/20000385	Market for debt instruments such as bonds, certificates of deposit, banker's acceptances and Treasury bills
20000391	foreign exchange market	http://cv.iptc.org/newscodes/mediatopic/20000385	The market for international currency
20000392	loan market	http://cv.iptc.org/newscodes/mediatopic/20000385	The market where financial organizations provide loans to borrowers and sell them on to investors
20000393	loans and lending	http://cv.iptc.org/newscodes/mediatopic/20001370	An agreement by an individual or institution to borrow money with an agreed interest rate and time for its return
20000394	securities	http://cv.iptc.org/newscodes/mediatopic/20000183	Markets for trading types of company paper such as stocks and bonds
20000395	derivatives	http://cv.iptc.org/newscodes/mediatopic/20000396	Financial instruments such as futures, swaps and options that depend on an underlying instrument such as a commodity, bond, equity or currency
20000396	stocks and securities	http://cv.iptc.org/newscodes/mediatopic/20000183	Financial instruments such as company shares and bonds
20000398	parents group	http://cv.iptc.org/newscodes/mediatopic/05000000	Group of parents set up to support educational activities of their children
20000399	religious education	http://cv.iptc.org/newscodes/mediatopic/05000000	Instruction by any faith about that faith's principles and beliefs, including Sunday school or preparation for a religious rite, such as a bar mitzvah
20000400	school	http://cv.iptc.org/newscodes/mediatopic/05000000	A building or institution in which education is provided
20000401	primary education	http://cv.iptc.org/newscodes/mediatopic/20000400	Education and schools designed to provide students with fundamental skills in reading, writing and mathematics and to establish a solid foundation for later learninEducation and schools designed to provide students with fundamental skills in reading, writing and mathematics and to establish a solid foundation for later learning
20000402	further education	http://cv.iptc.org/newscodes/mediatopic/20000400	Any form of education beyond basic education of several levels
20000403	adult and continuing education	http://cv.iptc.org/newscodes/mediatopic/20000400	Education for adults who have left the formal education system that offers new forms of knowledge or skills, including professional certificates and online courses provided by companies such as Codeacademy or Udemy
20000404	upper secondary education	http://cv.iptc.org/newscodes/mediatopic/20000400	Education and schools preparing students for tertiary education or providing skills relevant to employment through a curriculum with an increased range of subject options and streams
20000405	college and university	http://cv.iptc.org/newscodes/mediatopic/20000400	Institutions of higher learning that provide degrees in a course of study at the undergraduate, postgraduate or doctorate level
20000406	college	http://cv.iptc.org/newscodes/mediatopic/20000405	Institution of higher learning, its specific scope is set differently in different countries
20000407	university	http://cv.iptc.org/newscodes/mediatopic/20000405	Institutions of higher learning capable of providing doctorate degrees
20000408	lower secondary education	http://cv.iptc.org/newscodes/mediatopic/20000400	Education and schools that build on primary education with a more subject-oriented curriculum. Schools may be called middle schools or junior highs in the United States.
20000409	early childhood education	http://cv.iptc.org/newscodes/mediatopic/20000400	Education for children under the national compulsory education age
20000410	social learning	http://cv.iptc.org/newscodes/mediatopic/05000000	The learning of social skills and behaviors through the imitation and observation of others. This can include formal and informal instruction around empathy, emotions and mental health.
20000411	teaching and learning	http://cv.iptc.org/newscodes/mediatopic/05000000	Either end of the education equation
20000412	curriculum	http://cv.iptc.org/newscodes/mediatopic/05000000	The courses offered by a learning institution and the regulation of those courses
20000413	educational testing and examinations	http://cv.iptc.org/newscodes/mediatopic/05000000	Polices and standards around the testing and assessment of students, including the merits of standardized testing, and testing methods
20000414	entrance examination	http://cv.iptc.org/newscodes/mediatopic/05000000	Exams for entering colleges, universities and all other higher and lower education institutions
20000415	students	http://cv.iptc.org/newscodes/mediatopic/05000000	Students as a demographic, including student protests and requests for change and trends among students
20000416	teachers	http://cv.iptc.org/newscodes/mediatopic/05000000	Teachers as a demographic, including teacher unions, teacher education and training and the criteria for teachers in various locations
20000418	climate change	http://cv.iptc.org/newscodes/mediatopic/06000000	All issues relating to extreme changes in climate, including rising global temperature, debate on the causes and solutions of global warming, greenhouse gases and ways to reduce emissions
20000419	global warming	http://cv.iptc.org/newscodes/mediatopic/20000418	This category includes all issues relating to global warming including temperature research, remote sensing on temperature trends, debate on global warming, ways to reduce emissions and carbon trading.
20000420	conservation	http://cv.iptc.org/newscodes/mediatopic/06000000	Preservation of the natural world, such as wilderness areas, flora and fauna
20000421	energy saving	http://cv.iptc.org/newscodes/mediatopic/20000420	Conservation of electrical, and other power sources
20000422	nature preserve	http://cv.iptc.org/newscodes/mediatopic/20000420	Land set aside for conservation and preservation of flora and fauna, such as national, state and provincial parks
20000423	environmental policy	http://cv.iptc.org/newscodes/mediatopic/20000621	Government programs and policies related to environmental issues, such as pollution, renewable energy and conservation
20000424	environmental pollution	http://cv.iptc.org/newscodes/mediatopic/06000000	The contamination of natural resources by harmful substances
20000425	air pollution	http://cv.iptc.org/newscodes/mediatopic/20000424	Contaminants affecting the quality of the air
20000426	environmental clean-up	http://cv.iptc.org/newscodes/mediatopic/20000424	The removal of hazardous materials from contaminated areas
20000427	hazardous material	http://cv.iptc.org/newscodes/mediatopic/20000424	Materials that are harmful to humans or animals if they are exposed to them, such as radiation, poison gases, chemicals, heavy metals, PCBs, mircoplastics and certain plant products
20000428	waste material	http://cv.iptc.org/newscodes/mediatopic/20000424	The environmental impact of waste, including recycling efforts
20000429	water pollution	http://cv.iptc.org/newscodes/mediatopic/20000424	Contaminants affecting the quality of water
20000430	natural resource	http://cv.iptc.org/newscodes/mediatopic/06000000	Assets afforded by nature without human intervention that can be used for various purposes, such as providing energy or industrial materials
20000431	energy resources	http://cv.iptc.org/newscodes/mediatopic/20000430	Such resources as coal, gas, wind, sunlight etc., used to generate heat, electricity and power
20000432	land resources	http://cv.iptc.org/newscodes/mediatopic/20000430	That portion of a nation or state that is above water and available for development either for profit or for the general good of the public
20000433	forest	http://cv.iptc.org/newscodes/mediatopic/20000441	Open areas of trees either available for public enjoyment, or for commercial purposes
20000434	mountain	http://cv.iptc.org/newscodes/mediatopic/20000441	Elevated land masses formed over the ages either by erosion, volcanic eruption, or movement of massive geographical formations called plates
20000435	population growth	http://cv.iptc.org/newscodes/mediatopic/20000430	People and their growth and development within a natural setting
20000436	renewable energy	http://cv.iptc.org/newscodes/mediatopic/20000430	The environmental impact of renewable energy, including solar, wind, hydro, biomass and geothermal
20000437	water	http://cv.iptc.org/newscodes/mediatopic/20000430	Environmental issues about bodies of water, including oceans, lakes, streams and reservoirs, as well as ice, glaciers and forms of precipitation
20000438	ocean	http://cv.iptc.org/newscodes/mediatopic/20000441	The body of salt water that covers nearly three fourths of the surface of the earth
20000439	river	http://cv.iptc.org/newscodes/mediatopic/20000441	Moving water areas bounded by land that extend from earth sources and meander through land areas to join with other water areas
20000440	wetland	http://cv.iptc.org/newscodes/mediatopic/20000441	Areas generally marshy and not either under water or dry land. Often related to aquifers for water quality and/or wildlife
20000441	nature	http://cv.iptc.org/newscodes/mediatopic/06000000	The natural world
20000442	ecosystem	http://cv.iptc.org/newscodes/mediatopic/20000441	Interacting organisms, such as plants, animals, and bacteria, and their environment
20000443	endangered species	http://cv.iptc.org/newscodes/mediatopic/20000441	Species in danger of disappearing due to factors such as changes in environment, hunting, human encroachment on their environment or changes in climate
20000444	invasive species	http://cv.iptc.org/newscodes/mediatopic/20000441	Non-native plants, animals or other organisms that cause harm to native species by outcompeting them, altering native habitats or disrupting ecosystems
20000446	disease and condition	http://cv.iptc.org/newscodes/mediatopic/07000000	Any health conditions affecting humans
20000447	cancer	http://cv.iptc.org/newscodes/mediatopic/20000446	A serious and often fatal disease caused when normal cells mutate into tumors
20000448	communicable disease	http://cv.iptc.org/newscodes/mediatopic/20000446	Diseases that can be transmitted from one person or animal to another
20000449	epidemic and pandemic	http://cv.iptc.org/newscodes/mediatopic/20000448	A disease that affects a large number of people within a community, population, region or that has spread to multiple countries or continents across the world
20000450	plague (disease)	http://cv.iptc.org/newscodes/mediatopic/20000449	A highly infectious epidemic disease caused by the Yersinia pestis bacteria
20000451	viral disease	http://cv.iptc.org/newscodes/mediatopic/20000448	Diseases caused by an infection by viruses
20000452	HIV and AIDS	http://cv.iptc.org/newscodes/mediatopic/20000451	HIV, a virus that attacks the body's immune system, and AIDS the disease caused by HIV
20000453	retrovirus	http://cv.iptc.org/newscodes/mediatopic/20000451	A family of RNA viruses such as those causing leukemia and AIDS
20000454	heart disease	http://cv.iptc.org/newscodes/mediatopic/20000446	Diseases and conditions affecting the heart such as heart attacks, the narrowing of arteries, arrhythmia or cardiomyopathy
20000455	illness	http://cv.iptc.org/newscodes/mediatopic/20000446	Non-specific maladies such as stomach aches, headaches, flat feet, lumbago
20000456	injury	http://cv.iptc.org/newscodes/mediatopic/20000446	Harm caused to the human body by external forces such as falls, weapons or accidents
20000457	medical condition	http://cv.iptc.org/newscodes/mediatopic/20000446	An abnormal condition that affects the structure and functioning of the body, such as chronic pain, high blood pressure or osteoporosis
20000458	mental health	http://cv.iptc.org/newscodes/mediatopic/20000446	The psychological well-being of an individual and the diseases and disorders that affect mood, thinking and behaviour as well as actions taken to bring improvement and awareness to these conditions
20000459	eating disorder	http://cv.iptc.org/newscodes/mediatopic/20000458	Anorexia, bulimia, overeating and similar illnesses
20000460	obesity	http://cv.iptc.org/newscodes/mediatopic/20000457	A condition of body weight generally considered 20 percent above the norm for gender, age, height and bone structure
20000461	health facility	http://cv.iptc.org/newscodes/mediatopic/07000000	Facilities used for any kind of health care
20000462	hospital	http://cv.iptc.org/newscodes/mediatopic/20000461	Medical facilities for the treatment of illnesses and injury
20000463	health organization	http://cv.iptc.org/newscodes/mediatopic/07000000	Specific health organizations, including professional associations, non-profit and international groups
20000464	health treatment and procedure	http://cv.iptc.org/newscodes/mediatopic/07000000	Remedies, therapies, interventions, medications, testing and treatments to prevent, diagnose, manage or improve a health condition
20000465	diet	http://cv.iptc.org/newscodes/mediatopic/20000464	Ways of eating to benefit health or treat a condition, such as plant-based, low-salt, high-fibre or gluten-free
20000466	dietary supplement	http://cv.iptc.org/newscodes/mediatopic/20000465	Nutrients taken in addition to food to bolster health
20000467	non-prescription drug	http://cv.iptc.org/newscodes/mediatopic/20000464	Chemical substances used in the treatment or prevention of physical or mental condition or disease
20000468	prescription drugs	http://cv.iptc.org/newscodes/mediatopic/20000464	Drugs that can be obtained only with a doctor's authorisation
20000469	medical test	http://cv.iptc.org/newscodes/mediatopic/20000464	Diagnostic procedure, such as stress test, blood test, CAT scan or MRI
20000470	health care approach	http://cv.iptc.org/newscodes/mediatopic/20000464	Different approaches to medical care that vary in the methods and substances used to treat symptoms
20000471	herbal medicine	http://cv.iptc.org/newscodes/mediatopic/20000470	Treatment based on the use of herbs and other plants to cure or alleviate symptoms
20000472	holistic medicine	http://cv.iptc.org/newscodes/mediatopic/20000470	Treatment of the whole person including mental and environmental factors in addition to treating symptoms
20000473	traditional Chinese medicine	http://cv.iptc.org/newscodes/mediatopic/20000470	The practice of diagnosis, treatment and prevention of disease based on traditional methods developed in Eastern Asia
20000474	conventional medicine	http://cv.iptc.org/newscodes/mediatopic/20000470	The practice of diagnosis, treatment and prevention of disease based on modern scientific research
20000475	physical fitness	http://cv.iptc.org/newscodes/mediatopic/20000464	The measure of the body's ability to function efficiently and effectively during work and leisure activities.
20000476	preventative medicine	http://cv.iptc.org/newscodes/mediatopic/20000464	Substances used to prevent diseases or illnesses
20000477	vaccine	http://cv.iptc.org/newscodes/mediatopic/20000464	Medications designed to create immunity to diseases
20000478	therapy	http://cv.iptc.org/newscodes/mediatopic/20000464	Treatment of physical, mental or medical conditions by non-surgical means
20000479	healthcare policy	http://cv.iptc.org/newscodes/mediatopic/20000621	Government programs and policies related to healthcare such as drug policies, psychiatric care, health care funding and pandemic response
20000480	government health care	http://cv.iptc.org/newscodes/mediatopic/07000000	Health care provided by governments at any level
20000481	Medicaid	http://cv.iptc.org/newscodes/mediatopic/20000480	A program of the U.S. government to provide health care to needy citizens of all ages
20000482	Medicare	http://cv.iptc.org/newscodes/mediatopic/20000480	A program of the U.S. government to provide health care to senior citizens
20000483	health insurance	http://cv.iptc.org/newscodes/mediatopic/07000000	Insurance covering medical costs
20000484	private health care	http://cv.iptc.org/newscodes/mediatopic/07000000	Health care provided by private organizations
20000485	medical profession	http://cv.iptc.org/newscodes/mediatopic/07000000	Profession requiring formal training in the study, diagnosis, treatment, care and prevention of disease, medical condition or injury
20000486	medical service	http://cv.iptc.org/newscodes/mediatopic/20000485	Medical support for doctors, including blood tests and other medical tests on individuals, X-rays, CAT scans, MRIs, etc
20000487	medical specialization	http://cv.iptc.org/newscodes/mediatopic/20000485	The different medical specialist areas
20000488	geriatric medicine	http://cv.iptc.org/newscodes/mediatopic/20000487	Speciality into ageing and age-related issues including age-related illnesses, medical research, and trends.
20000489	obstetrics/gynecology	http://cv.iptc.org/newscodes/mediatopic/20000487	Specialty of female reproductive organs
20000490	pediatrics	http://cv.iptc.org/newscodes/mediatopic/20000487	Medical specialization that focuses on treating the young, including premature babies, infant care, childhood diseases and teenage health and behaviour problems
20000491	reproductive medicine	http://cv.iptc.org/newscodes/mediatopic/20000487	Speciality of reproductive technologies like invitro fertilization
20000492	medical staff	http://cv.iptc.org/newscodes/mediatopic/20000485	Doctors, nurses, interns and others in a medical facility
20000493	non-human diseases	http://cv.iptc.org/newscodes/mediatopic/07000000	Any harmful or destructive health condition affecting animals, plants or microorganisms.
20000494	animal disease	http://cv.iptc.org/newscodes/mediatopic/20000500	Diseases that affect animals on a wide scale, including zoonotic diseases such as avian influenza
20000495	plant disease	http://cv.iptc.org/newscodes/mediatopic/20000507	Disorders affecting plants caused by factors such as parasites, fungi, bacteria, physical injuries or environmental factors
20000497	accomplishment	http://cv.iptc.org/newscodes/mediatopic/08000000	Achievements by individuals or groups, animals, plants or other objects, such as winning a competitive contest etc
20000498	award and prize	http://cv.iptc.org/newscodes/mediatopic/08000000	The recognition of an achievement in a field in the form of a symbolic item, such as a plaque or trophy or in the form of a monetary gift, such as a cash prize or grant, given by a government or private institution
20000499	record and achievement	http://cv.iptc.org/newscodes/mediatopic/08000000	Non-sport achievement by an individual or group that sets a new record, such as most books read or holding one's breath the longest
20000500	animal	http://cv.iptc.org/newscodes/mediatopic/20000441	All animals, including pets, wildlife, insects, and livestock
20000501	ceremony	http://cv.iptc.org/newscodes/mediatopic/08000000	Rituals, such as dedications, wreath laying or celebrating the launching of a ship
20000502	people	http://cv.iptc.org/newscodes/mediatopic/08000000	Individuals or groups with a focus on emotional facets
20000503	human mishap	http://cv.iptc.org/newscodes/mediatopic/08000000	Silly or stupid human errors
20000504	high society	http://cv.iptc.org/newscodes/mediatopic/08000000	Life and behaviour of the rich and socialites
20000505	celebrity	http://cv.iptc.org/newscodes/mediatopic/08000000	Life and behavior of famous people
20000506	royalty	http://cv.iptc.org/newscodes/mediatopic/20000504	Imperial and royal family members in their societal rather than governmental roles
20000507	flowers and plants	http://cv.iptc.org/newscodes/mediatopic/20000441	All plants, including flowers, trees, and shrubs
20000509	employment	http://cv.iptc.org/newscodes/mediatopic/09000000	The state of having work, usually paid, for a company, organization, or individual
20000510	apprenticeship	http://cv.iptc.org/newscodes/mediatopic/20000509	A period of work used to learn a skill or trade
20000511	child labor	http://cv.iptc.org/newscodes/mediatopic/20000509	The employment of children
20000512	employee	http://cv.iptc.org/newscodes/mediatopic/20000509	Those who are paid or otherwise compensated for providing services to employers
20000513	employer	http://cv.iptc.org/newscodes/mediatopic/20000509	People and organizations that pay employees to provide services
