code	name	definition
06013000	environmental cleanup	Processes whereby contaminated areas are cleaned of hazardous materials so they can be inhabited again by either people or animals. 
07000000	health	All aspects pertaining to the physical and mental welfare of human beings. 
07001000	disease	Any harmful or destructive condition 
07001001	communicable diseases	Diseases that can be transmitted from one person or animal to another 
07001002	virus diseases	Diseases caused by infection within cells by viruses 
07001003	AIDS	Acquired Immunity Deficiency Syndrome, an incurable disease caused by the human immunodeficiency virus 
07001004	cancer	A serious and often fatal disease caused when normal cells mutate into tumours 
07001005	heart disease	A degenerative and serious disease caused by narrowing of the arteries feeding the heart 
07001006	alzheimer's disease	A disorder of the brain leading to dementia 
07001007	animal diseases	Disorders affecting animals that do not necessarily endanger humans 
07001008	plant diseases	Disorders affecting plants caused either by parasites or environmental factors 
07001009	retrovirus	A family of RNA viruses such as those causing leukaemia and AIDS 
07002000	epidemic and plague	An epidemic is a rapidly spreading condition in a community and a plague is usually a deadly disease of epidemic proportions 
07003000	health treatment	In general treatment of diseases and other conditions to produce wellness 
07003001	prescription drugs	Drugs that can be purchased only with a doctor's authorization 
07003002	dietary supplements	Nutrients taken in addition to food to bolster health 
07003003	diet	Controlled food consumption 
07003004	medical procedure/test	Any of a variety of treatments such as stress tests, catheterization, blood tests, computerised axial tomography scan or magnetic resonance imaging 
07003005	therapy	Treatment of physical, mental or medical conditions by non-surgical means 
07004000	health organisations	Includes stories about specific health organizations, including professional associations, non-profits and international groups 
07005000	medical research	Investigation into the causes and cures of diseases 
07006000	medical staff	Doctors, nurses, interns and others in a medical facility 
07006001	primary care physician	Patient's basic health care doctor - first point of call for all health related problems 
07006002	health-workers union	Issues involving industry groups for doctors, nurses, health workers etc. 
07007000	medicine	A substance used with the expectation that it will eliminate disease or illness 
07007001	herbal	Treatment based on the use of herbs and other plants to cure or alleviate disease symptoms 
07007002	holistic	Treatment of the whole person including mental and social factors rather than just the symptoms of the disease. 
07007003	western	The practice of diagnosis, treatment and prevention of disease based on modern scientific research in the western hemisphere. 
07007004	traditional Chinese	The practice of diagnosis, treatment and prevention of disease based on traditional methods developed in the orient. 
07008000	preventative medicine	Substances used to prevent diseases or illnesses 
07008001	vaccines	Medications designed to create immunity to diseases 
07009000	injury	A traumatic condition of the human body caused usually by outside forces 
07010000	hospital and clinic	Medical facilities for the treatment of illnesses and injury 
07011000	government health care	Health care provided by national governments 
07011001	medicare	A program of the U.S. government to provide health care to senior citizens 
07011002	medicaid	A program of the U.S. government to provide health care to needy citizens of all ages 
07012000	private health care	Health care provided by privately funded or insured organizations 
07013000	healthcare policy	Health-related policy decisions including what different countries are doing regarding prescription drug policies, AIDS, psychiatric care, health care funding and related topics. 
07013001	food safety	Issues relating to food cleanliness and contamination 
07014000	medical specialisation	The different medical specialist areas. 
07014001	geriatric	Research into aging and age-related issues including age-related illnesses, medical research, trends, geriatric medicine and related topics like age discrimination and health insurance for an ageing population. 
07014002	pediatrics	Research and medicine specifically for the young - includes premature babies, infant care, childhood disease and treatment - also teen-related health and behaviour problems. 
07014003	reproduction	Reproductive technologies like invitro fertilization and cloning as well as related debates. Sexual development matters and sexually transmitted diseases would also fall under this category. 
07014004	genetics	The science and research into genetic-base disease and cures for disease. This would include proteomics (the study of what proteins are produced by which genes and what those proteins do), general genetics and stem-cell research. 
07014005	obstetrics/gynecology	Specialty of female reproductive organs 
07015000	medical service	Medical support for doctors, including blood tests and other medical tests on individuals, X-rays CAT scans MRIs etc. 
07016000	physical fitness	The condition of a person's cardio-vascular and muscular health. 
07017000	illness	Non-specific maladies such as stomach aches, headaches, flat feet, lumbago 
07017001	mental illness	Those illnesses affecting the mind 
07017002	eating disorder	Anorexia, bulimia, overeating and similar illnesses 
07017003	obesity	A condition of body weight generally considered 20 percent above the norm for gender, age, height and bone structure 
07018000	medical conditions	Various stages of disease, illness or injury 
07019000	patient	Issues which affect population in general as attendees at hospitals or doctors' surgeries. 
08000000	human interest	Lighter items about individuals, groups, animals or objects. 
08001000	animal	Animals of all types 
08002000	curiosity	Content of an unusual nature that can raise questions or amuse 
08003000	people	Unusual content about people of all levels 
08003001	advice	Letters and answers about personal problems that are publishable 
08003002	celebrity	Celebrity news, i.e. Madonna has a baby, Elton John sues his accountants etc. 
08003003	accomplishment	Achievements by individuals or groups, such as charitable fundraising, winning a competitive contest etc 
08003004	human mishap	Stories arising from silly/stupid human errors e.g. like forgetting to tie one end of a bungee cord 
08003005	fortune-telling	The forecasting of future events or the delineation of character by methods not ordinarily considered to have a rational basis 
08004000	mystery	Something unexplained or unknown 
08005000	society	Stories of well-known people 
08005001	ceremony	Rituals of a non-religious nature such as dedications, wreath layings, ship launchings etc 
08005002	death	The human interest aspects of the demise of a person 
08005003	funeral	The ceremony to intern the remains of a person 
08005004	estate bestowal	The distribution of the estate of a person according to their will and any disagreements between the heirs 
08005005	memorial	Commemorative ceremony or object - plaque, statue etc - in remembrance of a person. 
08006000	award and prize	Decorations, awards and prizes, including those given by the government. 
08006001	record	Non-sport achievement by an individual or group that sets a new record, such as most books read, holding your breath longest 
08007000	imperial and royal matters	Imperial and royal family members, including matters on legal systems. 
08008000	plant	An organism of the kind exemplified by trees, shrubs, grasses, ferns, and mosses, typically growing in a permanent site 
09000000	labour	Social aspects, organizations, rules and conditions affecting the employment of human effort for the generation of wealth or provision of services and the economic support of the unemployed. 
09001000	apprentices	People who are in the work force at a learning level, serving under a master 
09002000	collective contract	Usually written contracts covering a specific class of worker 
09002001	contract issue-wages	Element of contracts and contract discussions centring on remuneration 
09002002	contract issue-healthcare	Element of contracts and contract discussions centring on health care issues 
09002003	contract issue-work rules	Element of contracts and contract discussions centring on rules affecting issues such as lunch and other breaks, work shifts, vacation scheduling, seniority, sick leave etc. 
09003000	employment	Paid labour 
09003001	labor market	A pool of people who are working or are seeking work 
09003002	job layoffs	The reduction of a company's work force through dismissal because of changing economic factors 
09003003	child labor	Employment of children, usually under the age of 18 
09003004	occupations	Generally one's trade, profession or business although professions are usually such things as lawyers and doctors, and occupations are such as clerks or truckers 
09004000	labour dispute	Differences of opinion about work conditions, pay, etc 
09005000	labour legislation	Laws governing work and labour 
09006000	retirement	The years after work 
09007000	retraining	Providing a worker training in new skills when his old skills are no longer applicable 
09008000	strike	A job action involving cessation of work 
09009000	unemployment	Lack of paid work 
09010000	unions	Groups established to represent bodies of workers 
09011000	wage and pension	Parts of a salary divided for current income and future income 
09011001	employee benefits	Either benefits provided to an employee by a company, such as pensions, health insurance; or monetary compensation paid by a government to the jobless usually called unemployment benefits 
09011002	social security	FICA. Money paid by individual and companies into a government account to be paid out when that individual reaches a certain age 
09012000	work relations	The give and take between management and labour 
09013000	health and safety at work	Rules and procedures for guaranteeing the health of workers 
09014000	advanced training	Additional training to enhance current skills 
09015000	employer	The person who employs workers and pays the salaries and other benefits to workers 
09016000	employee	A person who trades his time and talent for money and other benefits 
10000000	lifestyle and leisure	Activities undertaken for pleasure, relaxation or recreation outside paid employment, including eating and travel. 
10001000	game	Contests generally for ones amusement 
10001001	Go	A strategic, deterministic Chinese board game played by alternately placing stones on a grid 
10001002	chess	A game played on a chequered board with 16 pieces to each side with specific ranges of movement depending on their identity 
10001003	bridge	A card game of four players who bet on the hands of each other, developed from Russian whist 
10001004	shogi	A strategic board games which is native to Japan and is often called Japanese chess 
10002000	gaming and lottery	Gambling, often involving selection of sets of numbers one expects to come up 
10003000	gastronomy	The art of good eating 
10003001	organic foods	Food which is grown using no artificial fertilizers or chemical compounds 
10004000	hobby	Various types of activities for amusement, such as collecting stamps, building models, quilting, crafts 
10004001	DIY	DIY - do it yourself. Normally the construction, repair or maintenance of residential property by an amateur 
10004002	shopping	Consumer purchasing and related trends, but not the business aspects of retailing 
10004003	gardening	The non-commercial aspects of landscaping, growing plants, trees and other vegetation that gives pleasure to the gardener and others 
10005000	holiday or vacation	Leisure travel to a single location and/or country over a short period of time 
10006000	tourism	Leisure travel involving visits to a number of locations and/or countries over an extended period of time, often as part of an organized group 
10007000	travel and commuting	Transport options, travel networks, commuting, car pooling and business travel 
10007001	traffic	Traffic reports and/or warnings 
10008000	club and association	Organizations joined by individuals because of similar interests 
10009000	lifestyle (house and home)	Unique culture of ones own home 
10010000	leisure (general)	Activities carried out in ones' spare time 
10011000	public holiday	A day or days set off for celebration 
10012000	hunting	An activity involving the use of weapons or traps for the capturing of animals 
10013000	fishing	An activity involving the use of baits, lures, weapons and traps for the capture of aquatic species 
10014000	auto trends	The evolution of the automobile 
10015000	adventure	Expeditions, daring feats, exploration, record-breaking, risk-associated events 
10016000	beauty	Issues relating to improving one's appearance and attractiveness, including reviews of beauty products 
10017000	consumer issue	Shopping, products for the home, relevant surveys, product recalls 
10018000	wedding	The marriage ceremony and the events that surround it - showers, rehearsal, parties, honeymoon, etc. 
11000000	politics	Local, regional, national and international exercise of power, or struggle for power, and the relationships between governing bodies and states. 
11001000	defence	Anything involving the defence of one's own country 
11001001	veterans affairs	Care and provision for those who served in the military 
11001002	national security	The philosophy of securing a nation and its borders, as well as the well being of its citizens 
11001003	security measures	Means of making a nation, a state, a building or a person secure from harm and outside interference. 
11001004	armed Forces	Those employed by a government to conduct war, or to enforce the security of a nation 
11001005	military equipment	Equipment issued to members of the armed forces 
11001006	firearms	Anything that uses an explosive in a directed manner to propel an object that can maim or kill 
11001007	biological and chemical weapons	Devices using biological agents, or chemical mixtures to disable, maim or kill an opponent 
11001008	missile systems	Anything that propels an inert, explosive, biological or chemical object through the air with the aim of disabling, maiming or killing an opponent. 
11001009	nuclear weapons	Weapons that use controlled radioactivity from the decay of certain elements to disable, maim or kill an opponent 
11002000	diplomacy	The use of verbal and written skills for persuading others to your point of view 
11002001	summit	Includes meetings of leaders, foreign and finance ministers from the Group of Eight major nations and Group of Seven industrialized nations. 
11002002	international relations	Non-violent relations between nations through negotiation, treaty, or personal meetings 
11002003	peace negotiations	Negotiations intended to bring an end to a conflict 
11002004	alliances	Coalitions of like-minded groups formed to present a stronger force against any challenges 
11003000	election	The selection of representatives by the casting of votes 
11003001	political candidates	Individuals who are chosen to stand for office 
11003002	political campaigns	Campaigns for public office 
11003003	campaign finance	The money that makes campaigns for public office possible 
11003004	national elections	Choosing individuals for government at a national level 
11003005	regional elections	Choosing individuals for government at a regional level 
11003006	local elections	Choosing individuals for government at the basic level, whether city, village or county 
11003007	voting	The act of selecting an individual you would like to represent your interests in government 
11003008	poll	Periodic measurement of a political candidate's standing with the public 
11003009	european elections	Choosing individuals for a body which is at a higher level than national government, e.g. European parliament 
11003010	primary	Preliminary elections on a local or regional basis leading up to a regional or national election 
11004000	espionage and intelligence	Covert collection of information 
11005000	foreign aid	Help provided by one nation to another 
11005001	economic sanction	Punitive actions taken by one country against another including trade restrictions, embargoes etc. 
11006000	government	The system for ruling a country 
11006001	civil and public service	The paid service by civilians for the government, and the often non-paid service of individuals for the benefit of others (public service) 
11006002	safety of citizens	Government policies to protect the well being of its citizens 
11006003	think tank	Group that undertakes political research and issue position papers, recommendations etc 
11006004	national government	The ruling body of a nation 
11006005	executive (government)	That portion of a ruling body involving the overall operation of government 
11006006	heads of state	Symbolic or actual chief representative of a nation, such as royalty, or president or emir, for example 
11006007	government departments	Divisions of a government that concentrate on specific areas such as health, welfare, economy or war 
11006008	public officials	Individuals, usually elected, who are in public service or commonly in the public eye. 
11006009	ministers (government)	Heads of various government departments at one level, also known as secretaries. At another level they form a legislative body. The chief minister is either prime minister or premier. 
11006010	public employees	People employed by a government at all levels 
11006011	privatisation	The privatisation of state-owned companies or property 
11006012	nationalisation	State takeover of private companies or property 
11006013	impeachment	The process of bringing a public official before a tribunal to answer charges of wrongdoing 
11007000	human rights	Rights entitled to be enjoyed by all citizens universally 
11008000	local authority	Authorities at city, county state or borough level 
11009000	parliament	The collective body of elected officials representing the people 
11009001	upper house	Senior chamber of a legislative body 
11009002	lower house	The lower chamber of a legislative body 
11010000	parties and movements	Covers both formally recognized and informal political associations 
11010001	non government organizations (NGO)	Groups officially outside of government that lobby, demonstrate or campaign on a wide range of issues such as economics, environment healthcare etc. 
11011000	refugee	A person seeking shelter in another country because of some fear of persecution in his own country 
11012000	regional authority	Government bodies at levels encompassing more than one jurisdiction, e.g. the Delaware River Basin Commission 
11013000	state budget and tax	The national budget as promulgated by the government 
11013001	public finance	The money of government used for paying for public programs and services and public debt 
11014000	treaty and international organisation-DEPRECATED	NA
11014001	international relations-DEPRECATED	NA
11014002	peace negotiations-DEPRECATED	NA
11014003	alliances-DEPRECATED	NA
11015000	constitution	Usually a written document setting forth the operations of a government and the rights of the citizens therein 
11016000	interior policy	Government policies affecting internal affairs of a country 
11016001	data protection	Efforts to protect personal information in either written, oral or electronic form 
11016002	housing and urban planning	Systematic planning of urban and suburban areas and the housing within those areas 
11016003	pension and welfare	Government policies affecting the well being of its citizens through unemployment benefits, state pensions and other similar payments 
11016004	personal weapon control	Government control of personal ownership of firearms and other offensive weapons, including control of weapons used for sports through licenses and other means 
11016005	indigenous people	Government policies toward indigenous peoples 
11016006	personal data collection	The collection, by government or other entities of information on individuals 
11016007	planning inquiries	Public hearings or planning inquiries on proposed constructions, e.g. Construction of water driven power station in a National Park. 
11017000	migration	Movement of one body of persons from one place to another 
11018000	citizens initiative and recall	Political suggestions by non-government officials for corrective action, or for changes in existing rules and regulations 
11019000	referenda	Political proposals, laws and actions suggested by non-government officials to be voted on by the entire voting body 
11020000	nuclear policy	Government policies as regards to use of nuclear fuels for power production or weapons 
11021000	lobbying	The attempt by non-government bodies and individual to affect the outcome of legislation through verbal, or other, persuasion 
11022000	regulatory policy and organisation	The rules and bodies, both national and international, that govern conflict of interest and good practice regulations. 
11023000	censorship	Attempts by any group to control freedoms of speech, religion, and ideas distributed in print, graphics, cyberspace and other ways. Does not include official standards such as cinema ratings, advertising and broadcast standards. 
11024000	politics (general)	The art or science of participating in the affairs of government, a state of political party 
11024001	political systems	Systems designed to provide order to government 
11024002	democracy	Government in which the people hold the power either directly, or through elected officials. 
11024003	political development	The creation and rise of political systems and the history of the people and nations that are associated with those systems. 
11025000	freedom of the press	Mass media rights and freedoms, pressure and intimidation of the journalists, censorship in mass media, activities of government bodies, journalistic associations and/or organizations and other NGOs in regards to press freedom 
11026000	freedom of religion	Religious rights and freedoms, pressure and intimidation of the believers, censorship in mass media, activities of government bodies, journalistic associations and/or organizations and other NGOs in regards to freedom of belief and practice 
11027000	treaty	A treaty (as defined by the Vienna Convention on the Law of Treaties) is a written agreement between international entities that is binding under international law. 
11028000	international organisation	Includes organisations with members and functions that cross international borders, and may include intergovernmental organisations of sovereign nations. 
12000000	religion and belief	All aspects of human existence involving theology, philosophy, ethics and spirituality. 
12001000	cult and sect	Offshoots of established religious bodies, or small narrow-focused group promulgated by one or two individuals 
12002000	belief (faith)	The established beliefs of an individuals religion 
12002001	unificationism	The belief system of members of the Unification Church established by the Rev. Sun Myung Moon. 
12002002	scientology	Believe that man is a spiritual being endowed with abilities well beyond those which he normally envisages; he's able to solve his own problems, accomplish his goals and gain lasting happiness. 
12003000	freemasonry	A secret international society based on the principles of brotherhood, charity and mutual aid 
12004000	religion-DEPRECATED	NA
12004001	christianity-DEPRECATED	NA
12004002	islam-DEPRECATED	NA
12004003	judaism-DEPRECATED	NA
12004004	buddhism-DEPRECATED	NA
12004005	hinduism-DEPRECATED	NA
12005000	church (organisation)-DEPRECATED	NA
12005001	religious facilities-DEPRECATED	NA
12006000	values	Personal levels of social behaviour 
12006001	ethics	A system of beliefs about acceptable behaviour 
12006002	corrupt practices	Any action which is harmful to others 
12007000	church and state relations	The legal and social division between religious institutions and the affairs of state 
12008000	philosophy	Different thoughts about the way the world works 
12009000	christianity	Those that use Jesus Christ and his teachings as their centre of belief 
12009001	protestant	General term for christian churches and religious communities which developed through the reformation in the 16th century 
12009002	lutheran	Christians who follow the teaching of reformer Martin Luther 
12009003	reformed	Christians who follow the teaching of reformers Johannes Calvin and Ulrich Zwingli 
12009004	anglican	Members of the worldwide anglican communion which started in the 16th century in England as a breakaway church from the roman catholic church 
12009005	methodist	Followers of John and Charles Wesley who tried to reform the Church of England in the 18th century and turned into a separate church 
12009006	baptist	Members of a christian church which only baptises adults who truly believe in Christ 
12009007	mennonite	Members of a 16th century christian church which is against military service and baptising infants 
12009009	mormon	Members of a religious community which believes in the *Book of Mormon* and the revelations of founder M.J. Smith 
12009010	roman catholic	Biggest christian church worldwide tracing its origins back to Jesus Christ 
12009011	old catholic	Members of a catholic church which started in 1870 and denies the dogma of the infallibility of the pope 
12009012	orthodoxy	Eastern rite churches which are characterised by their continuity with the apostolic church, their liturgy and their territorial churches, mainly in eastern and south-eastern Europe and the Middle East 
12009013	salvation army	Christian community organised in a military fashion which does missionary and social work 
12010000	islam	Those who use Allah and his teachings as their centre of belief 
12011000	judaism	A group believing in one god, basing their beliefs on written scriptures and the Talmud, including the first coming of the Messiah 
12012000	buddhism	A major Asian religion founded by Buddha in the 6th century BC in India and preaching that right thinking and self denial will lead to a divine state without desire 
12013000	hinduism	A religious and social system, believing in a caste system with the Brahmans the highest and untouchables the lowest. 
12014000	religious festival or holiday	Holy day or day of observance in a religion which sometimes is a public holiday as well 
12014001	christmas	Christian festival in commemorating the birth of Jesus Christ 
12014002	easter	Christian festival in commemorating the resurrection of Jesus Christ 
12014003	pentecost	Christian festival, celebrated on the 50th day after Easter commemorating the descent of the Holy Spirit 
12014004	ramadan	Holy month of fasting in Islam 
12014005	yom kippur	Most solemn of Jewish religious holidays, observed on the 10th day of the lunar month of tishri (in the course of September and October, when Jews seek reconciliation with god 
12015000	religious leader	Person or persons who have a ritual, juridical or otherwise leading role in their respective church or religion 
12015001	pope	Head of the roman catholic church worldwide 
12016000	nature religion	Worship of natural elements like fire, water, trees, mountains 
12017000	taoism	Indigenous religio-philosophical tradition that has shaped Chinese life for more than 2000 years 
12018000	shintoism	Indigenous religious beliefs and practices of Japan. The word Shinto came into use in order to distinguish indigenous Japanese beliefs from Buddhism. 
12019000	sikhism	The religion of an Indian group, combining Hindu and Islamic elements, founded in the Punjab (or Panjab) in the late 15th century AD by Guru Nanak. 
12020000	jainism	A religion of India that teaches a path to spiritual purity and enlightenment through a disciplined mode of life founded upon the tradition of ahimsa, non-violence to all living creatures. It began in the 7th-5th century BC. 
12021000	parsasm	A religion in India following the Iranian prophet Zoroaster, mainly in Bombay, but also in Karachi (Pakistan). 
12022000	confucianism	The way of life propagated by Confucius in the 6th-5th century BC and followed by the Chinese people for more than 2000 years. Its influence has extended to Korea, Japan, and Vietnam. 
12023000	religious text	Scriptures holy or important for a church or religion 
12023001	bible	Sacred scriptures of Christianity consisting of the old and new testament 
12023002	qur'an	Holy book of Islam 
12023003	torah	Holy scriptures of Judaism 
12024000	interreligious dialogue	Any form of communication between religions 
12025000	religious event	News regarding a religious event but not a festival or holiday 
12025001	catholic convention	A catholic convention 
12025002	protestant convention	A protestant convention 
12025004	ritual	Established religious rituals such as mass, baptism, prayer meetings 
12026000	concordat	Treaty between the Holy See and another country for the regulation of ecclesiastical affairs in the territory of the latter 
12027000	ecumenism	Relations between christian churches 
13000000	science and technology	All aspects pertaining to human understanding of nature and the physical world and the development and application of this knowledge 
13001000	applied science	Stories about putting scientific knowledge to practical uses in the fields of the medical sciences, agriculture, domestic sciences as well as trades and crafts 
13001001	physics	The study of the properties and changes of matter 
13001002	chemistry	The study of the composition and reaction of substances 
13001003	cosmology	Study of the organization and structure of the universe 
13001004	particle physics	The study of elementary particles and atomic nuclei through the use of high-energy particles 
13002000	engineering	Stories about putting scientific knowledge to practical uses in the fields of civil, electrical, mechanical and chemical engineering 
13002001	material science	The study of materials used in manufacturing 
13003000	human science	Sociology, psychology, anthropology and political science 
13003001	social sciences	The study of people living in groups, as families, tribes and communities 
13003002	history	The study of human events of the past 
13003003	psychology	The study of the human mind and mental and emotional processes 
13003004	sociology	The study of human social relations, organization and change 
13003005	anthropology	The study of human beings in groups or societies 
13004000	natural science	Astronomy, astrophysics, physics, chemistry, earth sciences, palaeontology, biological sciences, botany and zoology, as well as mathematics 
13004001	geology	The study of Earth's physical processes 
13004002	paleontology	The study of ancient animals 
13004003	geography	The study of the surface of Earth and its political divisions 
13004004	botany	The study of plants 
13004005	zoology	The study of animals 
13004006	physiology	The study of vital processes of living organisms 
13004007	astronomy	The study of the stars and planets 
13004008	biology	The study of living organisms 
13005000	philosophical science	Philosophy, logic and ethics, among others 
13006000	research	Methodical investigation of events, procedures etc to explain why they occur, or to find solutions for problems 
13006001	survey	Examination of public attitudes on various subjects or issues, such as the quality of goods, the value of services etc. 
13007000	scientific exploration	Methodical land, sea and space journeys to discover new information about them 
13008000	space programme	The government's organized effort for the exploration of outer space and the bodies therein 
13009000	science (general)	Establishing and systematizing information about nature and the physical world through observation, experimentation and hypothesis 
13010000	technology (general)	The study of the practical or industrial arts, and applied sciences such as physics, hydrodynamics and thermodynamics 
13010001	rocketry	The development of rockets 
13010002	laser	The development and use of light amplification by stimulated emission of radiation 
13011000	standards	The rules, national and international, that govern science and technology. These might include international standards setting for equipment and interference standards. 
13012000	animal science	Science involving animals 
13013000	micro science	The multi-disciplinary areas of nanotechnology and Micro-Electrical Mechanical Systems. 
13014000	marine science	The multi-disciplinary research areas involving the worlds' waterways and oceans. This could include hyper-spectral sensing of ice flows, fisheries studies and underwater research. 
13015000	weather science	All scientific aspects of the weather and climate. 
13016000	electronics	The branch of engineering or physics concerned with the controlled flow of electrons or other carriers of electric charges, especially in semiconductor devices, including the design, manufacture, and maintenance of electronic devices 
13017000	identification technology	Includes biometrics, new computer-based identification cards, retinal scans, face scanning and mobile augmented reality systems (MARS) and other ways technology can identify individuals. Also technology vs. the privacy of personal information. 
13018000	mathematics	The study of quantities and shapes and their symbolic relationships. 
13019000	biotechnology	Manipulating natural organisms for scientific, medical or agricultural purposes 
13020000	agricultural research and technology	Pertaining to the growing of crops and management of farm animals 
13021000	nanotechnology	Manipulating objects at the molecular scale 
13022000	IT/computer sciences	The study and design of computer systems and networks. 
13023000	scientific institutions	Institutions that carry out or govern scientific work (e.g. National Academy of Arts and Sciences ) 
14000000	social issue	Aspects of the behaviour of humans affecting the quality of life. 
14001000	addiction	The habitual and often uncontrollable use of harmful substances such as alcohol, tobacco and pharmaceuticals or drugs 
14002000	charity	Philanthropic giving 
14003000	demographics	The study of people and here they live and how they interact 
14003001	population and census	Population is the number of people in a geographical region and census is the process of counting them 
14003002	immigration	Movement of individuals from one country to the other 
14003003	illegal immigrants	Movement of individuals from one country to the other by illicit means 
14003004	emigrants	People who leave their country of origin, their relationship with their country of origin and their association with fellow emigrants 
14004000	disabled	Being incapacitated either physically, emotionally or mentally 
14005000	euthanasia (also includes assisted suicide)	Voluntary death with the aid of another 
14005001	suicide	Death by one's own hand 
14006000	family	A group of individuals related by blood or marriage 
14006001	parent and child	Two or more individuals with a hierarchical familial relationship 
14006002	adoption	A legal process of bringing a child with no supporting parents into a supportive union 
14006003	marriage	The union of two individuals who pledge fidelity, respect and support for each other 
14006004	divorce	The process by which a marriage is dissolved 
14006005	sex	The classification of individuals as either male or female. Or conjugal relationship between two individuals. 
14006006	courtship	Preliminaries of wooing and winning a partner 
14007000	family planning	Conscious decisions and efforts involving reproduction 
14008000	health insurance	Insurance covering extraordinary medical costs 
14009000	homelessness	Lacking a fixed place of residence 
14010000	minority group	A group of people classified by race, language, religion or other characteristic numerically smaller than others of the same classification 
14010001	gays and lesbians	Those that consider themselves attracted to their same gender in an erotic or sensual or similar way. 
14010002	national or ethnic minority	Groups of people that form a minority on ethnic or national basis, their status, problems and relations to the majority 
14011000	pornography	Audio or visual depictions of various sex related acts considered outside accepted community standards 
14012000	poverty	Having insufficient resources to provide for basic services to oneself or family 
14013000	prostitution	Sex for sale, either male or female, and those who profit from it 
14014000	racism	Harmful attitudes toward another group based on racial differences 
14015000	welfare	Generally government help for those in need of food, housing health and other services 
14016000	abortion	Usually the planned disruption of the process of reproduction of human life 
14017000	missing person	A person who is not where they are expected to be for a period of time 
14017001	missing due to hostilities	People, both civilian and military, missing during or after hostilities 
14018000	long term care	Extensive health care because of serious illness or disability 
14019000	juvenile delinquency	Incidents involving perpetrators who are minors. 
14020000	nuclear radiation victims	Includes antinuclear movements and compensation for atomic blast victims. 
14021000	slavery	The involuntary servitude, outside of legal incarceration for statuary criminal offences, of men, women and children, including involuntary unpaid labour, coerced actions, child labour 
14022000	abusive behaviour	The maltreatment of one or more individuals by others through dehumanizing treatment including sexual or mental abuse, deprivation of sensory abilities, deprivation of physical needs, physical mistreatment including beatings, and other forms of torture 
14023000	death and dying	Dying is the route to death. Death is the state you are in when there are no signs that you can function as a human being either physically or mentally 
14024000	people	Individuals as a whole, sometimes broken down into various classes, such as indigenous people, people of class etc 
14024001	children	Immature people, usually up to the age of puberty 
14024002	infants	Those people from birth until ages of one or two, usually when they begin walking 
14024003	teen-agers	People aged 13 to 19 years of age 
14024004	adults	People aged 20 and above 
14024005	senior citizens	People aged 60 or 65 and older 
14025000	social issues (general)	Issues affecting a number of individuals in their daily lives like housing, food, education, personal relationships 
14025001	social conditions	Conditions under which people live in terms of housing, water supply, availability of education 
14025002	social problems	Issues affecting the lives of individuals such as housing, education nutrition, communication etc 
14025003	discrimination	Denial of services to one or more people because of race, colour, sexual identity, religion, political beliefs etc 
14025004	social services	Government supported programs to improve the well-being of individuals or groups of individuals 
14025005	death penalty policies	National or international polices regarding death sentences 
14026000	ordnance clearance	The removal or neutralization of ordnance such as landmines or cluster bombs, remaining after a war or armed conflict 
14027000	reconstruction	The reconstruction of economy, infrastructure and property, as well as life in general, after a war or natural disaster 
15000000	sport	Competitive exercise involving physical effort. Organizations and bodies involved in these activities. 
15001000	aero and aviation sport	Parachuting, freefall (parapente, delta-plane), gliding, aerostat, motorised flight (airplane, ultra light craft, helicopter) 
15001001	parachuting	Parachuting competitions: precision landings, voltige, individual and team 
15001002	sky diving	Parachuting competitions involving sky-diving 
15002000	alpine skiing	Skiing downhill on snow-covered slopes as fast as possible. The slopes contain intermediate gates which are spaced according to the discipline involved 
15002001	downhill	Skiing at top speed down a steep slope with interspersed turns but no gates. The fastest wins. 
15002002	giant slalom	Skiing down a slope, but with more turns and bends than in super-G skiing. The fastest wins. 
15002003	super G	Skiing down a steep slope, but with more turns and bends than in the downhill. The fastest wins. 
15002004	slalom	Skiers must zig-zag their way down a slope with closely positioned gates which they must negotiate. It is run over two legs with the combined fastest winning. 
15002005	combined	Race, usually competed over two days that combines a downhill leg and a slalom leg rewarding the most complete skiers. Combined fastest time wins. 
15003000	American football	Team ball game that opposes two teams that have attack sections and defence sections. Each attack goes up against the other defence and attempts to move an oval-shaped ball down the field and into the end-zone to mark a touchdown and earn points. 
15003001	(US) National Football League (NFL) (North American)	The association of professional American football teams 
15003002	CFL	The Canadian Football League (CFL), also known as Ligue Canadienne de Football (LCF), is a professional league located entirely in Canada that plays Canadian football. 
15003003	AFL-DEPRECATED	The American Football League (AFL) was a professional league of American football that operated from 1960 to 1969. In 1970, the AFL merged with the National Football League. 
15004000	archery	Archers use bows and arrows to aim at targets 1.22 metres in diameter which are on average 70 metres distant. 
15004001	FITA / Outdoor target archery	The competition is held outdoors on an open (flat) field, at various fixed distances. The archery competition in the Olympic Games is a part of the FITA outdoor target archery program. 
15004002	crossbow shooting	Shooting with crossbow on targets from different distances 
15005000	athletics, track and field	Competitions involving foot races, jumping and throwing which can be on a track inside a stadium or on outside roads 
15005001	100 m	Running over a distance of 100 metres with the fastest time winning 
15005002	200 m	Running over a distance of 200 metres with the fastest time winning 
15005003	400 m	Running over a distance of 400 metres with the fastest time winning 
15005004	800 m	Running over a distance of 800 metres with the fastest time winning 
15005005	1000 m	Running over a distance of 1000 metres with the fastest time winning 
15005006	1500 m	Running over a distance of 1000 metres with the fastest time winning 
