code	name	definition
02015000	inquiry	Formal hearing involving a disaster, political event etc. Eg rail crash, drug prescription scandal. 
02016000	tribunal	Formal hearing usually involving employment issues, property etc. 
03000000	disaster and accident	Man made and natural events resulting in loss of life or injury to living creatures and/or damage to inanimate objects or property. 
03001000	drought	A severe lack of water over a period of time 
03002000	earthquake	The shifting of the tectonic plates of the Earth, creating in some cases damage to structures 
03003000	famine	Severe lack of food for a large population 
03004000	fire	Ignition and consumption of materials through a combination of high heat and oxygen 
03005000	flood	Surfeit of water, caused by heavy rains or melting snow, usually in places where it's not wanted 
03006000	industrial accident	A mishap in a factory, a shop or an office, potentially harmful to humans 
03006001	structural failures	When a building, bridge or other structures collapse because of unexpected forces or poor design 
03007000	meteorological disaster	A weather-related disaster 
03007001	windstorms	A storm of high velocity but non-hurricane force movements of air with little or no rain or hail. Often highly destructive 
03008000	nuclear accident	A mishap involving radioactive materials 
03009000	pollution	Emissions of unwanted materials in areas where it can be harmful 
03010000	transport accident	An accident involving one or more vehicles 
03010001	road accident	Accidents on roads. 
03010002	railway accident	Accidents involving trains. 
03010003	air and space accident	Accidents involving craft in air or space. 
03010004	maritime accident	Accidents involving marine vessels. 
03011000	volcanic eruption	A rupture in the skin of the Earth allowing molten material to escape to the surface 
03012000	relief and aid organisation	Organizations set up to provide help to those in need because of lack of food, water or shelter 
03013000	accident (general)	Any unplanned event that causes unwanted consequences 
03014000	emergency incident	A sudden, unexpected event that requires immediate action 
03014001	explosion	Sudden eruptions, usually of chemical substances 
03015000	disaster (general)	Serious or sudden misfortune 
03015001	natural disasters	Destructive incidents caused by the very nature of nature -- hurricanes, earthquakes, floods etc 
03015002	avalanche/landslide	Sudden dislodging of massive amounts of snow or soil. 
03016000	emergency planning	Planning for actions to deal with sudden, unplanned events 
03017000	rescue	An operation to save people, animals or property from harm or danger. 
04000000	economy, business and finance	All matters concerning the planning, production and exchange of wealth. 
04001000	agriculture	The process of producing natural materials for consumption 
04001001	arable farming	Production of food in the ground 
04001002	fishing industry	Raising or gathering of fish 
04001003	forestry and timber	Production and collection and preparation of wood products for future use 
04001004	livestock farming	Raising of animals for food 
04001005	viniculture	Production of wines from the vines to the finish products 
04001006	aquaculture	Growing plants or animals in water for human consumption 
04002000	chemicals	Natural or manmade materials used to produce other materials 
04002001	biotechnology	The business of using engineering technology to study and solved problems of living organisms 
04002002	fertiliser	Natural or manmade materials used to encourage the growth of plants 
04002003	health and beauty product	Compilation of chemicals and other substances for use in enhancing ones looks or smell 
04002004	inorganic chemical	The branch of chemistry dealing with minerals and metals 
04002005	organic chemical	The branch of chemistry dealing with human, animal or carbon-based substances 
04002006	pharmaceutical	The production of medicines from various chemicals and natural substances 
04002007	synthetic and plastic	Chemicals used to produce plastics and other artificial substances to be used in manufacturing 
04003000	computing and information technology	Anything to do with the computing and/or transmission of information from one point to another. 
